,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05,14.04,15.07,16.2,17.23,18.24,19.25,20.22,21.25,22.24,23.27,24.2
0,1,8,25,49,87,137,205,278,363,439,520,586,651,699,742,771,799,820,838,848,857,866,872,888
1,2,8,25,49,88,138,204,278,361,439,520,585,650,699,741,772,800,820,839,847,859,865,872,887
2,1,9,25,49,86,138,207,279,362,440,522,585,651,700,742,772,800,819,835,847,858,865,872,887
3,2,9,25,50,87,137,207,277,359,439,521,586,650,699,744,772,800,820,836,847,859,865,872,888
4,1,4,26,50,87,137,205,279,360,439,522,586,650,700,742,772,799,820,836,847,859,865,872,888
5,2,7,29,49,87,137,205,278,360,439,519,586,650,700,741,773,800,820,836,847,859,865,872,888
6,0,9,26,50,90,137,204,277,359,439,520,585,650,700,742,773,799,820,836,847,858,865,872,888
7,1,8,25,49,88,137,205,278,360,439,519,585,650,698,742,772,799,821,836,847,858,865,872,887
8,2,10,24,49,86,137,204,277,360,439,520,585,650,698,743,772,799,820,835,847,858,866,871,887
9,2,9,26,49,87,138,204,278,361,439,520,586,650,698,742,772,799,819,836,847,858,866,872,886
10,1,9,26,49,88,137,204,278,360,439,520,585,650,699,742,771,799,820,836,848,857,865,872,887
11,0,8,26,49,88,139,204,278,360,439,519,587,650,698,741,771,799,819,836,847,858,865,871,887
12,0,9,26,49,88,137,204,278,360,438,520,584,651,699,742,772,799,820,836,847,858,866,872,888
13,1,9,25,50,88,137,205,278,361,438,520,585,651,699,742,771,799,819,835,847,857,866,873,887
14,2,8,26,49,87,137,204,278,360,439,520,586,652,699,741,772,798,819,836,849,858,866,871,888
15,2,8,26,49,88,137,204,278,361,439,519,586,651,698,742,771,801,819,836,849,859,866,871,887
16,1,8,25,50,89,138,204,278,361,439,519,585,653,699,741,771,800,819,835,848,859,865,874,886
17,3,10,25,52,89,138,206,278,361,439,519,586,650,699,742,771,800,820,836,848,858,865,872,886
18,1,8,25,49,87,138,205,278,360,439,519,585,651,699,742,772,799,820,836,848,857,866,872,888
19,2,8,26,50,85,137,204,278,360,439,519,585,651,699,742,772,800,820,837,847,858,863,871,888
20,2,8,25,49,88,139,205,279,361,439,520,586,650,699,742,772,800,820,832,848,859,863,872,888
21,0,8,25,49,89,138,204,278,363,439,518,586,650,699,741,772,800,820,834,847,858,865,871,887
22,1,9,25,49,88,137,203,278,358,439,521,586,650,699,741,771,800,819,835,848,858,864,871,888
23,2,7,24,50,86,137,203,279,363,439,519,585,650,699,744,772,800,821,836,847,858,865,872,887
24,2,8,27,50,88,137,204,278,359,439,519,586,651,699,741,773,800,820,836,848,858,864,871,887
25,2,8,26,50,89,138,205,279,360,438,517,586,649,698,742,772,800,820,835,847,858,865,872,887
26,1,7,26,51,88,137,205,278,359,440,519,585,650,699,742,772,799,819,836,848,858,865,871,886
27,2,9,25,51,86,138,205,278,360,439,519,585,650,699,741,772,799,819,837,848,857,866,871,886
28,2,8,26,49,88,138,204,277,359,439,519,586,650,699,741,772,800,820,836,847,858,866,871,887
29,1,8,25,49,88,137,204,278,360,440,519,586,650,699,741,772,800,819,837,847,857,866,871,888
30,1,8,27,50,87,138,204,278,360,438,519,586,650,700,741,772,800,819,837,848,858,866,871,887
31,1,7,24,51,87,137,204,277,360,438,520,585,650,700,741,771,799,820,836,848,857,865,871,888
32,2,9,25,50,88,137,204,278,360,439,520,585,650,697,741,772,799,819,836,848,858,865,871,887
33,2,9,26,50,88,137,205,278,361,439,520,585,653,699,742,771,798,819,836,847,857,865,871,888
34,1,10,25,50,88,137,204,278,360,438,520,585,649,699,741,772,799,819,836,848,858,866,874,888
35,1,8,24,49,87,138,205,277,360,439,520,585,652,699,742,771,800,820,837,848,861,865,873,888
36,0,10,25,49,88,137,205,277,361,439,520,585,652,701,741,771,800,820,836,848,856,865,873,890
37,6,8,24,50,86,138,204,278,361,439,520,585,650,702,741,772,800,820,835,848,860,866,872,889
38,3,8,25,52,88,137,205,278,360,439,520,586,650,700,741,771,800,820,835,848,857,865,872,888
39,1,8,25,50,88,137,205,278,360,440,519,585,650,700,741,771,800,820,839,848,859,866,872,888
40,2,9,25,47,82,140,206,278,360,437,519,586,651,700,741,772,800,820,837,848,859,865,872,888
41,1,8,25,50,87,137,206,277,360,436,520,585,650,699,743,772,799,821,836,847,859,866,873,887
42,2,8,24,49,86,139,206,278,359,439,519,586,651,699,741,772,799,820,838,848,858,865,872,887
43,1,9,25,49,88,132,204,278,359,439,519,585,650,699,743,772,799,820,836,848,858,865,871,887
44,1,7,26,50,86,138,205,277,360,439,520,585,649,699,742,770,799,820,835,848,858,865,871,887
45,3,9,23,50,87,137,205,279,360,439,520,586,650,699,742,769,800,820,836,847,858,865,872,887
46,1,8,24,50,86,137,204,278,361,439,519,586,650,700,742,770,799,820,836,848,858,866,872,887
47,2,8,26,49,88,137,205,277,361,439,520,585,650,699,741,772,799,820,837,847,857,866,872,887
