x,y
1.03,23.73737374
2.02,34.61616162
3.05,53.27272727
4.02,79.4040404
5.05,115.9191919
6.04,157.8585859
7.07,206.4545455
8,253.9393939
9.03,317.9292929
10.02,359.3030303
11.05,418.020202
12.02,465.5656566
13.05,519.2020202
14.04,570.5656566
15.07,621.3333333
16.2,673.0909091
17.23,714.8585859
18.24,752.7070707
19.25,787.3838384
20.22,815.2424242
21.25,836.4646465
22.24,856.1414141
23.27,872.8080808
24.2,884.2828283
