x,y
1.03,1.616161616
2.02,8.333333333
3.05,25.11111111
4.02,49.5959596
5.05,87.49494949
6.04,137.4343434
7.07,204.6565657
8,277.8585859
9.03,360.2323232
10.02,438.9191919
11.05,519.5858586
12.02,585.5050505
13.05,650.3434343
14.04,699.0808081
15.07,741.6464646
16.2,771.6262626
17.23,799.4646465
18.24,819.6262626
19.25,836.010101
20.22,847.6565657
21.25,858.0505051
22.24,865.2222222
23.27,871.7474747
