,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05,14.04,15.07,16.2,17.23,18.24,19.25,20.22,21.25,22.24,23.27
0,1,12,29,56,95,149,220,294,378,463,545,621,682,732,775,808,836,855,869,881,889,896,903
1,3,12,30,55,95,150,220,294,381,462,545,621,681,733,775,808,835,856,869,882,890,896,901
2,7,11,27,55,95,149,220,294,377,464,544,621,682,733,775,809,836,852,871,882,890,896,902
3,2,10,30,56,95,149,220,293,378,463,543,621,682,732,775,808,836,860,869,883,888,896,901
4,2,11,31,55,95,147,220,294,378,463,546,621,681,733,775,809,835,856,870,880,890,896,901
5,1,12,29,55,94,149,221,293,377,463,544,622,682,732,774,808,836,855,869,881,890,896,902
6,3,12,28,55,95,149,221,294,378,463,545,621,682,733,776,809,836,855,870,881,889,896,902
7,1,12,29,55,96,149,221,294,375,463,545,622,682,733,776,809,836,858,867,881,890,896,901
8,0,12,29,55,95,149,221,293,376,464,546,622,680,733,775,809,835,856,870,880,890,897,900
9,2,10,29,56,94,149,220,294,378,464,546,622,681,732,776,809,835,856,870,881,890,896,900
10,1,11,29,57,95,150,219,294,378,463,545,622,683,733,775,809,836,855,870,881,889,896,901
11,2,11,32,55,94,150,221,294,378,464,545,621,683,732,775,809,836,856,870,881,889,897,901
12,2,12,28,54,99,149,220,294,377,464,545,620,682,733,776,809,836,856,870,881,890,897,900
13,2,11,29,55,96,150,221,295,377,464,547,623,682,732,775,809,836,856,870,882,890,896,901
14,1,13,30,55,95,150,222,295,378,464,546,622,682,733,775,808,835,855,869,881,889,896,900
15,1,12,30,55,96,149,220,294,378,463,545,621,682,732,775,808,836,856,870,881,890,896,902
16,1,12,31,56,95,150,220,294,378,464,545,622,682,733,775,809,836,855,869,881,890,896,901
17,2,11,30,56,95,149,220,292,378,464,545,624,682,732,775,809,836,856,869,881,889,896,901
18,1,11,31,56,95,149,221,295,378,464,548,621,682,732,776,808,836,855,869,882,890,896,901
19,4,11,30,56,98,149,220,294,378,464,545,621,684,733,775,808,836,855,870,881,891,896,901
20,0,12,30,55,95,148,221,294,378,463,545,622,682,733,775,808,835,855,869,881,891,896,902
21,1,15,30,55,96,149,221,294,378,464,545,622,682,733,774,808,836,855,869,881,890,896,901
22,2,12,30,55,95,149,220,290,378,463,544,622,682,732,775,809,835,855,870,881,889,895,901
23,2,13,30,55,95,150,220,294,378,464,545,621,683,732,775,808,836,855,869,881,890,895,901
24,1,13,29,56,95,149,221,293,378,463,544,621,682,733,774,808,836,855,869,881,890,896,901
25,1,11,31,56,95,150,221,294,377,463,545,621,682,733,775,809,836,855,870,881,889,896,901
26,1,12,30,56,96,150,220,295,378,464,545,621,683,733,776,809,835,855,869,880,889,896,901
27,1,12,30,54,94,149,220,294,377,464,545,621,682,733,775,809,837,855,869,880,889,898,901
28,1,11,25,55,96,149,220,295,378,464,545,621,682,732,775,811,835,855,870,880,889,897,901
29,3,12,30,55,95,151,221,294,377,463,545,622,682,735,773,810,836,856,870,880,889,897,900
30,2,12,30,55,95,151,220,294,378,460,546,621,682,732,775,809,836,855,870,880,890,894,901
31,2,11,30,56,94,149,220,294,378,465,545,621,683,732,776,808,833,855,870,881,890,896,900
32,1,11,31,55,95,150,221,294,378,464,545,621,683,733,775,809,836,855,870,881,890,895,900
33,2,11,29,55,95,149,220,293,378,464,545,622,683,732,775,808,836,855,870,880,890,897,901
34,2,11,29,56,95,148,220,294,378,464,545,621,682,731,775,810,836,855,869,881,889,896,901
35,1,13,28,54,96,149,220,294,378,461,545,621,683,732,777,808,836,855,869,881,890,899,901
36,2,12,29,54,95,150,221,294,378,462,544,622,682,731,775,808,839,856,871,881,889,895,901
37,1,10,29,55,96,149,221,294,378,465,545,621,682,732,775,808,836,856,870,882,890,896,901
38,3,12,29,56,90,150,220,295,377,464,545,621,682,732,775,811,837,855,869,881,890,896,902
39,1,13,30,57,95,150,221,294,378,464,544,621,682,733,775,809,836,856,869,881,889,896,901
40,2,12,29,56,94,152,220,294,378,463,545,622,682,734,775,809,835,856,870,881,892,894,901
41,2,11,31,57,96,149,220,294,378,461,545,621,682,732,775,808,836,857,869,884,890,893,901
42,1,13,29,55,95,149,221,294,380,464,546,622,682,733,775,808,835,855,869,882,890,896,901
43,1,11,30,55,95,150,220,294,379,463,544,621,682,733,775,807,836,855,869,881,890,896,901
44,2,11,28,55,95,149,220,293,377,464,545,622,682,733,775,809,835,855,866,881,890,896,901
45,2,12,29,54,96,149,220,294,379,464,544,622,682,733,775,808,836,854,869,881,890,894,901
46,2,13,29,53,94,149,219,294,378,463,546,621,682,732,775,809,835,856,870,881,888,896,902
47,3,13,30,54,95,149,222,295,375,464,548,623,682,732,775,809,835,855,869,882,890,896,901
48,1,12,30,56,94,150,220,294,379,463,544,621,682,732,775,809,836,855,870,881,890,896,901
