x,y
1.03,1.676767677
2.02,11.81818182
3.05,29.44444444
4.02,55.29292929
5.05,94.92929293
6.04,149.4141414
7.07,220.4747475
8,294.1010101
9.03,377.7575758
10.02,463.5555556
11.05,545.1515152
12.02,621.4848485
13.05,682.2626263
14.04,732.4040404
15.07,775.030303
16.2,808.7272727
17.23,835.8080808
18.24,855.2626263
19.25,869.5757576
20.22,881.1010101
21.25,889.8888889
22.24,896.1010101
23.27,901.2020202
