,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05,14.04,15.07,16.2,17.23,18.24,19.25,20.22
0,15,29,48,78,120,163,218,267,323,382,443,507,578,646,724,791,859,915,967,966
1,17,29,49,79,118,164,217,265,322,379,446,507,576,646,722,791,858,918,967,967
2,14,28,49,78,118,162,216,267,323,380,446,507,576,647,721,793,859,918,967,967
3,16,28,48,77,118,164,218,266,324,382,445,505,577,647,722,792,861,917,970,969
4,15,29,50,78,119,165,218,266,323,383,446,505,578,648,720,792,859,917,968,968
5,15,29,48,79,119,164,216,267,323,382,444,509,579,645,724,790,860,916,967,966
6,14,29,48,78,118,163,217,267,325,380,446,507,576,647,723,791,860,916,966,969
7,14,29,49,78,118,163,217,265,324,381,447,506,576,648,720,793,859,918,967,967
8,15,30,49,77,118,164,216,265,324,381,446,506,576,647,720,791,862,917,966,967
9,15,29,50,79,121,165,218,266,323,381,444,508,579,648,721,790,859,917,966,967
10,16,28,48,77,120,163,217,267,322,380,444,507,577,646,724,791,860,915,967,967
11,14,28,49,79,120,163,218,267,324,382,445,506,575,648,722,790,858,917,966,969
12,16,29,50,78,121,163,219,267,322,382,445,506,577,648,720,794,859,918,966,968
13,16,29,49,78,118,163,216,267,323,381,444,507,578,647,722,792,860,917,967,967
14,16,28,49,79,118,163,217,267,325,379,444,506,576,645,723,791,860,917,967,970
15,14,29,50,77,118,165,219,265,323,381,446,506,574,647,722,790,858,917,967,967
16,15,29,49,78,118,164,216,266,323,380,446,506,577,648,722,793,859,917,966,968
17,13,30,49,79,119,163,216,267,322,382,446,507,578,646,720,793,861,917,966,967
18,15,29,47,78,118,164,217,266,325,381,444,508,580,646,722,791,860,916,967,966
19,15,29,48,77,120,163,219,266,324,380,447,507,577,647,723,789,859,915,966,968
20,15,28,49,78,121,165,218,265,322,383,448,505,576,648,722,791,859,914,966,966
21,16,28,48,78,118,164,216,267,324,381,444,506,578,648,721,793,860,917,966,969
22,14,29,49,78,120,163,216,266,325,381,443,508,577,646,721,793,861,917,967,967
23,15,30,50,79,120,165,218,264,323,381,446,508,576,647,723,790,859,916,968,967
24,15,29,50,78,119,164,216,267,322,382,446,508,577,648,724,790,859,915,966,970
25,15,28,48,78,119,162,216,267,323,381,444,506,576,649,720,792,859,919,966,967
26,15,27,49,78,121,162,217,268,325,380,443,505,576,647,720,793,861,918,969,967
27,14,29,48,78,118,162,218,267,324,380,445,506,577,645,723,791,861,919,968,968
28,13,29,49,78,119,165,216,266,322,382,446,506,575,647,722,790,858,915,967,967
