,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05,14.04,15.07,16.2,17.23,18.24,19.25,20.22,21.25,22.24,23.27,24.2
0,24,36,53,79,116,158,207,253,318,359,417,463,519,570,621,674,713,751,787,815,837,858,869,884
1,24,34,53,80,116,158,206,255,319,360,418,465,519,570,620,674,714,753,788,814,838,857,874,884
2,23,36,53,79,117,158,208,255,318,360,420,466,519,571,620,673,716,753,788,814,835,855,873,885
3,24,35,53,79,117,157,206,254,317,359,418,467,518,571,622,672,716,752,788,815,835,855,873,885
4,24,35,54,80,117,158,207,253,319,358,417,465,518,572,623,672,716,751,788,817,838,855,872,884
5,24,35,54,79,115,158,206,254,318,360,418,465,519,571,622,674,713,751,786,816,837,857,871,882
6,23,36,52,80,116,158,207,255,317,360,417,466,521,569,621,673,713,753,786,816,836,856,872,884
7,24,35,53,80,117,157,206,254,316,361,418,467,520,569,620,673,715,754,788,815,835,855,874,886
8,24,36,54,79,115,158,207,253,317,359,418,465,520,571,621,673,715,755,788,815,835,855,874,885
9,23,35,54,79,116,158,206,254,318,358,418,464,518,571,623,673,715,752,788,816,838,855,872,883
10,23,34,53,80,115,158,208,254,318,360,419,466,519,572,621,672,714,751,786,816,837,856,872,884
11,23,34,54,79,116,157,207,254,318,359,419,466,521,569,621,674,713,752,787,816,836,857,871,884
12,23,34,53,80,117,157,206,253,318,359,419,467,520,570,620,673,715,753,788,815,837,855,874,885
13,23,35,54,79,116,158,206,254,318,359,418,465,519,571,621,673,716,753,788,814,835,855,873,885
14,23,34,54,80,117,158,208,255,318,360,416,464,518,571,622,672,715,754,789,815,837,853,873,884
15,24,35,53,80,115,156,206,254,317,360,417,465,519,572,622,672,716,752,787,815,837,855,872,884
16,24,35,53,79,117,158,206,253,317,360,419,465,521,570,620,674,713,751,786,816,836,856,871,884
17,25,34,53,79,117,159,206,254,318,359,419,466,519,569,620,674,713,753,788,815,837,856,874,884
18,24,36,54,81,114,158,208,254,318,359,418,465,518,571,621,673,716,753,788,814,835,856,874,886
19,24,34,53,79,116,157,206,254,318,361,417,464,519,572,622,673,715,753,789,816,835,857,873,885
20,23,34,53,79,117,158,206,254,318,360,419,467,519,571,622,671,714,752,788,817,838,855,873,884
21,24,35,53,79,116,158,206,253,316,359,419,466,521,570,621,674,713,751,786,816,837,857,871,883
22,23,34,54,80,115,158,207,255,319,359,418,466,520,570,621,673,714,754,787,814,836,856,872,883
23,25,35,53,79,115,156,207,254,317,359,417,466,518,572,620,673,715,754,789,815,836,857,873,883
24,23,36,54,80,116,158,206,253,317,360,418,464,519,570,621,673,716,754,789,815,836,855,874,885
25,25,35,53,79,116,158,206,253,316,360,419,465,519,571,623,672,715,753,788,816,837,855,874,886
26,23,36,53,80,114,157,208,254,318,359,419,466,520,570,620,674,715,751,788,816,838,857,873,882
27,24,35,53,79,115,157,206,254,320,358,417,465,519,571,620,675,713,753,786,815,837,858,872,883
28,23,35,54,80,117,158,206,254,317,360,418,465,517,572,622,673,716,754,789,815,837,856,874,884
29,25,35,53,79,115,158,206,253,318,360,420,464,519,572,621,672,715,753,788,814,836,856,874,885
30,23,34,54,79,116,158,207,255,318,359,418,466,519,571,622,672,715,752,788,815,836,856,874,886
31,25,35,54,79,116,156,206,253,318,358,418,466,520,570,621,673,714,752,788,817,838,856,872,883
32,24,36,54,80,115,158,206,253,318,359,416,465,519,569,620,674,713,751,786,816,836,857,871,884
33,23,35,53,79,116,158,206,255,316,360,418,465,519,571,621,673,716,755,788,815,836,857,873,884
34,24,35,54,80,116,157,207,253,316,359,419,466,519,572,622,673,717,753,788,816,836,855,873,885
35,25,35,52,79,117,159,207,254,319,358,418,467,520,571,622,674,716,753,788,815,836,856,874,885
36,23,35,54,81,116,159,206,253,319,359,417,466,521,570,622,673,715,752,788,817,838,856,873,885
37,25,35,54,79,115,158,206,252,317,360,418,464,518,570,620,674,714,752,785,815,837,857,871,884
38,22,35,53,79,116,158,207,254,318,361,418,465,518,571,621,673,714,753,787,815,838,856,871,884
39,23,35,53,78,116,158,205,255,318,359,419,466,519,572,622,673,716,753,789,815,836,856,873,883
40,23,34,53,80,115,159,205,254,319,358,418,466,520,570,622,673,716,754,788,814,835,855,874,884
41,24,35,53,79,116,157,208,254,317,360,417,466,520,570,622,674,714,753,787,815,837,855,874,886
42,24,34,54,80,116,158,207,254,317,361,416,465,519,569,620,675,714,751,786,817,837,857,872,883
43,24,35,53,80,116,158,207,254,318,359,419,465,518,570,620,674,715,752,785,815,837,857,871,883
44,23,34,53,79,117,158,206,254,319,358,419,466,519,572,623,673,715,753,788,815,836,857,872,884
45,24,35,53,79,116,157,207,253,318,360,419,466,520,571,622,671,716,753,787,814,835,855,873,885
46,23,34,54,80,116,158,207,255,317,361,417,466,520,570,622,673,715,751,788,816,836,856,874,885
47,25,35,53,79,116,158,207,254,317,359,419,466,519,571,621,673,713,752,786,817,837,856,873,885
48,23,34,53,79,117,159,206,254,319,358,419,464,520,570,620,674,714,753,786,816,837,858,871,883
49,25,35,52,80,116,157,207,254,318,358,419,466,518,572,621,673,715,754,788,813,837,857,872,882
50,23,34,53,79,117,158,208,253,317,360,417,467,520,572,622,672,716,754,787,816,835,856,872,883
51,24,35,53,78,116,158,206,255,317,359,417,466,520,569,622,673,716,753,788,815,835,855,874,886
52,23,34,54,80,117,158,206,254,319,359,418,464,518,569,620,674,715,752,788,817,837,855,873,886
53,25,34,53,79,116,158,207,253,318,359,420,465,518,570,620,675,714,752,786,816,837,857,872,884
54,24,35,54,81,116,158,207,254,318,360,417,466,519,572,621,673,714,752,786,814,837,858,872,882
55,24,35,53,80,116,158,205,254,318,360,417,466,520,572,622,672,716,754,789,815,835,856,872,883
56,23,34,53,79,116,158,207,254,319,359,418,466,520,570,622,672,715,753,787,815,836,855,874,886
57,23,35,53,79,116,158,207,255,319,358,419,464,518,570,622,673,714,752,788,815,837,855,874,885
58,23,34,53,80,115,158,207,254,318,358,418,466,518,571,620,673,713,752,787,817,837,857,873,884
59,24,35,53,79,116,158,206,254,316,359,416,467,521,572,621,672,714,753,786,815,837,857,871,883
60,25,34,54,79,117,156,206,254,318,360,417,466,521,572,622,672,715,754,788,815,836,857,872,884
61,24,35,53,79,117,158,207,254,319,360,419,464,518,570,622,673,716,754,788,815,835,857,873,885
62,23,34,54,79,116,158,208,254,318,359,420,466,518,570,621,673,715,752,788,814,836,855,873,885
63,21,35,53,79,115,157,206,254,317,359,418,466,519,572,620,675,714,752,787,817,837,856,874,885
64,24,34,52,79,117,159,205,255,319,360,417,467,521,571,621,675,714,752,786,816,837,857,873,883
