x,y
1.03,0.9494949495
2.02,10.29292929
3.05,27.41414141
4.02,53.62626263
5.05,92.8989899
6.04,143.4747475
7.07,215.9090909
8,289.6464646
9.03,372.020202
10.02,453.020202
11.05,534.7575758
12.02,604.7575758
13.05,671.4444444
14.04,715.2222222
15.07,760.1717172
16.2,790.2626263
17.23,817.7575758
18.24,837.010101
19.25,852.8787879
20.22,864.4040404
