,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,7,0,47,0,130,0,296,0,453,0,579,0,672,0,770,0,818,0,847
1,0,9,0,48,0,129,0,295,0,453,0,579,0,672,0,770,0,818,0,848
2,0,8,0,48,0,130,0,295,0,452,0,580,0,671,0,771,0,819,0,847
3,0,9,0,48,0,131,0,296,0,453,0,579,0,672,0,772,0,819,0,847
4,0,8,0,47,0,130,0,296,0,453,0,580,0,672,0,770,0,819,0,848
5,0,7,0,47,0,130,0,297,0,451,0,579,0,671,0,771,0,818,0,848
6,0,7,0,47,0,130,0,296,0,454,0,579,0,672,0,770,0,818,0,848
7,0,7,0,44,0,130,0,296,0,454,0,578,0,672,0,769,0,819,0,848
8,0,9,0,47,0,131,0,296,0,453,0,579,0,671,0,770,0,820,0,847
9,0,8,0,48,0,130,0,296,0,453,0,579,0,671,0,770,0,819,0,848
10,0,7,0,47,0,130,0,296,0,456,0,579,0,671,0,770,0,819,0,848
11,0,9,0,47,0,130,0,296,0,454,0,579,0,671,0,771,0,819,0,847
12,0,8,0,48,0,130,0,296,0,454,0,579,0,672,0,771,0,819,0,847
13,0,7,0,48,0,130,0,296,0,453,0,579,0,671,0,771,0,820,0,848
14,0,9,0,47,0,130,0,296,0,453,0,579,0,672,0,771,0,820,0,848
15,0,8,0,47,0,129,0,296,0,453,0,578,0,671,0,771,0,819,0,848
16,0,8,0,47,0,130,0,296,0,453,0,578,0,671,0,772,0,819,0,848
17,0,8,0,48,0,131,0,295,0,453,0,578,0,671,0,771,0,819,0,848
18,1,8,0,48,0,130,0,296,0,454,0,578,0,671,0,771,0,819,0,848
19,0,9,0,48,0,131,0,296,0,453,0,578,0,671,0,772,0,819,0,848
20,0,8,0,47,0,129,0,296,0,454,0,579,0,671,0,771,0,819,0,847
21,0,8,0,48,0,130,0,295,0,453,0,577,0,671,0,772,0,819,0,847
22,0,9,0,48,0,130,0,296,0,454,0,578,0,671,0,771,0,819,0,848
23,0,9,0,48,0,130,0,295,0,453,0,578,0,671,0,771,0,818,0,847
