,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3,15,43,69,122,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,16,44,68,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,15,44,69,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,15,41,70,123,162,247,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,15,44,69,122,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,16,44,69,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,16,45,70,123,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,16,43,70,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,16,47,70,122,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,15,45,66,122,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,16,43,72,124,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,16,45,69,123,162,247,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,15,43,70,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,16,44,69,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,15,44,68,123,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,15,44,69,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,15,44,69,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,16,44,69,122,164,248,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,16,44,69,122,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,15,44,70,126,161,248,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,15,43,69,127,161,243,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5,14,46,68,128,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,16,43,69,120,161,249,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,15,44,69,121,163,251,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,16,44,68,125,164,250,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,15,41,69,126,162,246,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,15,40,68,123,163,253,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,15,44,72,122,166,248,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,15,45,66,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,15,44,70,123,164,248,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,16,47,69,123,166,248,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,16,44,68,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,16,44,67,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,16,44,69,123,163,247,0,0,0,0,0,0,0,0,0,0,0,0,0
