,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05
0,2,10,27,54,93,144,215,290,372,453,535,604,672
1,1,11,27,53,92,144,216,289,372,454,535,604,672
2,2,9,28,55,93,144,216,290,371,453,535,604,671
3,0,9,27,53,93,143,216,290,372,454,536,604,671
4,2,9,29,53,95,144,216,290,372,454,535,604,671
5,1,9,28,54,93,144,215,290,372,454,534,604,671
6,0,10,28,52,93,144,217,290,373,453,535,603,671
7,0,10,27,53,93,144,216,291,372,453,534,605,671
8,2,12,26,53,93,143,216,290,373,453,535,605,670
9,2,10,29,54,93,144,216,291,372,453,534,604,671
10,0,11,28,54,93,144,217,290,372,453,534,604,671
11,1,11,27,54,92,143,216,290,372,452,534,605,673
12,2,9,28,54,92,144,217,289,372,453,535,606,672
13,2,11,28,54,93,143,216,291,373,453,535,605,671
14,0,10,28,54,94,144,216,289,372,453,535,605,671
15,0,10,28,53,92,144,216,290,372,452,535,605,671
16,1,9,27,53,93,143,217,290,372,453,534,604,671
17,1,11,27,53,92,144,216,289,373,452,535,605,671
18,1,12,27,55,93,143,215,289,373,454,535,605,671
19,1,9,28,54,94,144,215,290,372,452,535,604,671
20,0,11,28,53,93,142,216,290,372,453,535,605,672
21,2,11,28,54,93,143,216,289,373,454,535,604,671
22,1,10,28,54,94,143,216,289,372,454,535,604,671
23,0,10,27,56,93,144,215,289,371,453,535,603,671
24,2,10,27,53,93,142,215,290,372,453,536,604,671
25,1,10,28,54,93,144,215,290,371,453,536,604,671
26,0,12,28,54,93,142,216,289,372,453,534,605,670
27,1,11,27,54,92,143,216,289,372,454,534,604,670
28,1,10,27,52,94,145,215,290,372,453,537,604,670
29,0,11,27,54,93,143,215,290,372,454,535,604,671
30,0,11,28,54,93,143,217,289,372,452,534,604,670
31,1,11,27,53,93,144,215,289,372,453,535,605,671
32,1,11,27,54,93,144,216,290,372,454,534,605,672
33,1,9,28,53,91,144,216,289,372,453,534,604,669
34,0,10,27,53,92,144,216,289,372,454,535,604,672
35,1,10,28,55,92,144,217,290,372,453,534,606,671
36,0,11,27,53,93,143,216,290,372,453,535,605,672
37,1,9,28,53,94,144,216,290,372,453,534,605,672
38,2,10,28,54,94,144,215,289,372,453,535,605,672
39,0,11,28,55,92,144,216,290,372,453,534,606,672
40,1,11,28,53,93,143,217,289,372,453,535,605,672
41,2,10,28,53,94,144,216,289,372,453,534,605,671
42,1,10,28,53,92,145,216,290,371,453,534,605,671
43,1,10,27,54,93,144,215,290,372,453,535,605,671
44,2,11,27,54,94,143,216,290,373,453,536,604,672
45,1,10,28,53,93,143,216,290,373,452,535,604,671
46,2,11,27,53,93,143,215,290,372,452,535,604,670
47,0,11,28,55,93,144,216,290,372,453,535,604,670
48,0,10,27,54,92,142,215,290,373,453,535,604,671
49,0,9,27,54,92,143,216,289,372,454,535,605,671
50,1,11,27,53,93,143,216,289,372,453,534,605,670
51,1,10,27,53,93,143,216,290,372,453,535,604,670
52,1,11,27,53,93,143,215,290,372,453,535,605,671
53,1,11,28,53,92,143,216,289,371,453,535,604,671
54,2,10,27,55,93,143,216,290,372,453,535,605,671
55,1,11,29,55,93,143,215,290,371,453,535,605,672
56,2,13,28,54,93,143,216,290,371,453,535,605,671
57,0,10,26,53,93,143,217,289,372,454,534,604,672
58,1,11,27,54,93,143,215,290,371,453,536,605,671
59,1,10,29,54,93,144,216,289,373,452,535,605,672
60,1,10,27,54,93,144,217,290,373,453,534,606,671
61,1,11,28,53,93,144,216,289,372,454,535,607,671
62,1,10,28,53,93,143,216,290,372,452,535,605,672
63,1,9,27,53,93,143,216,290,372,452,534,605,671
64,1,9,26,53,93,144,216,289,373,453,535,604,671
65,0,11,27,53,93,144,216,289,372,453,535,605,671
66,1,9,28,54,94,144,214,289,372,453,535,604,670
67,1,10,26,54,93,144,216,290,372,452,534,605,671
68,1,9,27,55,93,143,216,291,373,453,534,605,671
69,1,10,29,54,93,143,217,288,373,453,534,605,671
70,0,8,27,55,92,143,215,290,372,453,535,604,671
71,2,11,28,54,94,144,216,290,372,453,534,605,671
72,2,11,27,52,93,143,216,290,372,453,534,603,672
73,0,11,27,53,93,142,217,290,373,453,535,605,671
74,0,11,28,54,93,142,216,290,372,453,535,605,671
75,2,10,27,55,92,143,215,289,371,453,535,605,671
76,2,11,27,53,92,144,216,290,372,454,535,605,672
77,1,11,28,54,92,143,216,290,372,453,535,605,672
78,1,10,27,53,92,144,215,290,371,454,535,605,671
79,0,9,27,54,92,142,216,290,372,453,535,605,671
80,2,11,27,53,92,143,216,290,371,454,535,604,671
81,2,11,27,54,92,144,216,290,372,453,535,605,671
82,2,10,28,54,92,144,217,289,372,453,535,605,671
83,1,10,28,53,93,143,215,290,372,452,534,606,672
84,2,10,26,54,93,144,216,288,371,453,535,605,671
85,0,10,27,54,93,144,216,290,372,452,535,605,671
86,1,12,27,54,94,144,216,290,371,452,535,605,671
87,1,10,27,53,93,143,216,289,372,453,534,605,671
88,1,11,28,54,93,144,216,290,372,453,534,605,671
89,2,10,26,55,92,144,216,289,373,453,535,605,671
90,0,11,28,53,93,144,216,289,370,452,535,606,671
91,1,10,26,53,93,144,216,290,372,454,532,605,671
92,1,11,27,53,92,143,217,289,372,452,535,607,672
93,1,10,28,52,93,145,216,290,373,453,534,606,671
94,0,9,26,53,93,144,215,290,372,453,535,606,671
95,0,10,27,54,96,144,216,289,372,452,535,605,672
96,1,10,27,53,93,143,217,290,372,453,536,605,671
97,2,10,27,55,92,143,217,289,373,453,535,605,671
98,0,10,28,52,92,143,216,289,372,454,535,606,671
99,0,10,27,54,95,144,215,290,371,453,535,605,671
