x,y
1.03,0.05050505051
2.02,10.94949495
3.05,26.32323232
4.02,52.41414141
5.05,92.37373737
6.04,145.1616162
7.07,217.989899
8,293.1818182
9.03,380.5959596
10.02,463.9494949
11.05,549.2929293
12.02,620.3636364
13.05,689.3333333
14.04,743.9191919
15.07,786.3232323
16.2,824.2121212
17.23,849.7474747
18.24,869.4949495
19.25,885.2222222
20.22,895.7878788
21.25,904.5757576
22.24,911.0505051
23.27,915.9393939
